Art;
0;Annette
0;Petra
0;Carla
0;Indra
0;Sandra
0;Petra
0;Imke
0;Anke
0;Alex
0;Alexandra
0;Louise
0;Susi
0;Marlene
0;Elke
0;Maren
0;Britta
0;Brigitte
0;Sonja
0;Merle
0;Franziska
0;Annie
0;Olga
0;Melanie
0;Steffie
0;Tina
0;Martina
0;Johanna
0;Anne
0;Nathalie
0;Doreen
0;Beverly
0;Christine
0;Pat
0;Marcia
0;Emily
0;Loretta
0;Sherin
0;Ellen
0;Roberta
1;David
1;John
1;Rick
1;Jurie
1;Mark
1;Peter
1;Herbert
1;Thomas
1;Armin
1;Robert
1;Alexander
1;Bill
1;Karl
1;Dietrich
1;Bernhard
1;Samuel
1;Michael
1;Jerry
1;Christian
1;Henry
1;Ken
1;Bob
1;Kevin
1;Adrian
1;Ted
1;Larry
1;Patrick
1;Al
1;Philipp
1;Walter
1;Lee
1;Thorsten
1;Franz
1;Otto
1;Ingolf
1;Trevor
1;Tobias
1;Andreas
1;Zacharias
2;Edwards
2;Mellen
2;Öttger
2;Schneider
2;Müller
2;Michels
2;Peters
2;Landers
2;Eichbaum
2;Goldscheuer
2;Schmidt
2;Ende
2;Friedmann
2;Reimer
2;Schwarzhaupt
2;Hartmann
2;Polaski
2;Meier
2;Clark
2;Biermann
2;Hedrich
2;Sinters
2;Bittmann
2;Berker
2;Niefer
2;Ottersbeck
2;Schmalbach
2;Wall
2;Blüm
2;Ewers
2;Gessert
2;Haessig
2;Holz
2;Mandon
2;Gingter
2;Turner
2;Sanders
2;Xendro
2;Schweizer
2;Adelsberger
2;Uhlmann
2;Kaspar
2;Hofstedt
2;Stolz
2;O'Neil
2;Rainer
2;Toth
2;Beenen
2;Feuser
2;Cöll
2;Meister
2;De Wulf
2;Prantera
2;Horowitz
2;Plonk
2;Späth
2;Kahl
2;Lloyd
2;Rabe
2;Ising
2;Paskert
2;Stoiber
2;Stroustrup
2;Dimberg
2;Karlstein
2;Nordin
2;Bloman
2;Sundquist
2;Danner
2;Beimar
2;Foster
2;Castro
2;Kurlander
2;Linn
2;Becker
2;Silber
2;Tappert
